ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Delivery Commission,Processing Fee,Withheld Tax,Targeted Promotion
O-305614834480814,Havenly Treats - Amity Rd,Prepaid Order,,4/7/21,2:00 PM,33,0,0,2.43,5.31,40.74,-6.6,-1.54,0,0,
O-791714894747311,Havenly Treats - Amity Rd,Prepaid Order,,4/12/21,1:12 PM,13.25,0,0,0.97,5.77,19.99,-2.65,-0.91,0,0,
O-917914901095578,Havenly Treats - Amity Rd,Adjustment of O-917914901095578,Order Not Received,4/13/21,9:06 PM,-17,0,0,-1.25,-3.65,-21.9,3.4,0.97,0,0,
T-AwEAAAAAABs5gdFgNYCmyhHrl2HvhvqACEA,Havenly Treats - Amity Rd,Account Adjustment,Adjustment due to tax exempt corporate client between 2021-04-19 and 2021-04-25,4/26/21,4:05 PM,0,0,0,0,0,-7.14,0,0,0,0,
O-102415031461290,Havenly Treats - Amity Rd,Prepaid Order,,4/26/21,4:45 PM,18.74,0,2.99,1.6,4.67,28,-4.35,-1.15,0,0,
O-248214782132929,Havenly Treats - Amity Rd,Prepaid Order,,4/1/21,12:59 PM,15,0,0,0.74,0,15.74,-3,-0.63,0,-5,
O-865014845968263,Havenly Treats - Amity Rd,Prepaid Order,,4/7/21,6:03 PM,21.25,0,0,1.56,4.56,27.37,-4.25,-1.13,0,0,
O-865014845977254,Havenly Treats - Amity Rd,Adjustment of O-865014845977254,Refund due to item removed from order,4/7/21,2:41 PM,-16,0,0,-1.18,0,-17.18,0,0,0,0,
O-109914936032918,Havenly Treats - Amity Rd,Prepaid Order,,4/16/21,12:53 PM,20.5,0,0,1.51,0,22.01,-4.1,-0.97,0,0,
O-881414842015000,Havenly Treats - Amity Rd,Prepaid Order,,4/7/21,4:08 PM,7.5,0,0,0.55,1.2,9.25,-1.5,-0.58,0,0,
O-755114891055380,Havenly Treats - Amity Rd,Prepaid Order,,4/12/21,5:32 PM,15,0,0,1.1,3.9,20,-3,-0.91,0,0,
O-464914931780743,Havenly Treats - Amity Rd,Prepaid Order,,4/16/21,1:15 PM,28.75,0,0,2.11,4.63,35.49,-5.75,-1.38,0,0,
O-423914904157755,Havenly Treats - Amity Rd,Adjustment of O-423914904157755,"Refund due to order adjustment.
 Incorrect item.
1 Falafel Wrap
I ordered a falafel wrap and was given a different item with chicken in it.",4/13/21,7:39 PM,-13.5,0,-2.99,-1.21,-3.58,-21.28,0,0,0,0,
O-552914934374080,Havenly Treats - Amity Rd,Prepaid Order,,4/16/21,5:18 PM,3,0,0,0.22,0,3.22,-0.6,-0.4,0,0,
O-423914904157755,Havenly Treats - Amity Rd,Adjustment of O-423914904157755,Item not available - ,4/13/21,7:05 PM,-5.75,0,0,-0.42,0,-6.17,0,0,0,0,
O-441414983317974,Havenly Treats - Amity Rd,Prepaid Order,,4/21/21,2:58 PM,5.5,0,0,0.4,0.89,6.79,-1.1,-0.51,0,0,
